fund_name,fund_extended_name,category,net_assets,ytd_return,fund_yield,morningstar_rating,investment,size,currency,portfolio_cash,portfolio_stocks,portfolio_bonds,price_earnings,price_sales,basic_materials,consumer_cyclical,financial_services,real_estate,consumer_defensive,healthcare,utilities,communication_services,energy,industrials,technology,fund_return_2018,fund_return_2017,fund_return_2016
AADAX,Invesco Growth Allocation Fund Class A,Allocation - 70% to 85% Equity,976520000.0,10.37,1.24,2.0,Blend,Large,USD,5.81,75.84,16.61,12.94,1.39,4.1,13.46,16.75,5.55,9.95,11.27,4.57,3.49,7.03,9.65,14.18,-8.27,15.76,9.08
AADBX,American Beacon Balanced Fund Institutional Class,Allocation - 50% to 70% Equity,277940000.0,10.22,1.43,4.0,Value,Large,USD,3.23,61.17,35.55,12.0,1.11,3.68,12.91,23.45,0.0,6.32,11.04,1.42,4.28,16.09,9.91,10.88,-8.03,12.5,12.52
AADCX,Invesco Growth Allocation Fund Class C,Allocation - 70% to 85% Equity,976520000.0,10.17,0.46,2.0,Blend,Large,USD,5.81,75.84,16.61,12.94,1.39,4.1,13.46,16.75,5.55,9.95,11.27,4.57,3.49,7.03,9.65,14.18,-8.95,14.94,8.23
AADDX,Aberdeen Income Builder Fund Institutional Class,Large Blend,88840000.0,9.28,2.89,2.0,Blend,Large,USD,1.97,47.13,49.75,11.76,2.81,0.0,4.78,17.68,1.15,5.7,17.35,4.58,6.04,1.2,11.53,29.99,-5.27,17.34,11.51
AADEX,American Beacon Large Cap Value Fund Institutional Class,Large Value,5800000000.0,13.52,1.94,3.0,Value,Large,USD,5.23,94.77,0.0,12.54,1.23,3.67,10.58,24.33,0.09,7.33,12.62,1.98,3.94,13.27,12.32,9.87,-11.99,17.07,15.98
AADIX,Invesco Growth Allocation Fund R5 Class,Allocation - 70% to 85% Equity,976520000.0,10.47,1.57,3.0,Blend,Large,USD,5.81,75.84,16.61,12.94,1.39,4.1,13.46,16.75,5.55,9.95,11.27,4.57,3.49,7.03,9.65,14.18,-8.02,16.26,9.45
AADRX,Invesco Growth Allocation Fund Class R,Allocation - 70% to 85% Equity,976520000.0,10.32,0.98,2.0,Blend,Large,USD,5.81,75.84,16.61,12.94,1.39,4.1,13.46,16.75,5.55,9.95,11.27,4.57,3.49,7.03,9.65,14.18,-8.49,15.43,8.82
AADSX,Invesco Growth Allocation Fund Class S,Allocation - 70% to 85% Equity,976520000.0,10.38,1.35,2.0,Blend,Large,USD,5.81,75.84,16.61,12.94,1.39,4.1,13.46,16.75,5.55,9.95,11.27,4.57,3.49,7.03,9.65,14.18,-8.17,15.9,9.12
AADTX,American Funds 2025 Target Date Retirement Fund Class A,Target-Date 2025,19670000000.0,7.72,1.33,5.0,Blend,Large,USD,8.15,54.27,37.26,16.03,1.89,4.69,11.09,13.35,2.21,8.47,15.64,3.34,3.63,8.78,8.93,19.87,-3.74,14.95,6.95
AADYX,Invesco Growth Allocation Fund Class Y,Allocation - 70% to 85% Equity,976520000.0,10.47,1.51,3.0,Blend,Large,USD,5.81,75.84,16.61,12.94,1.39,4.1,13.46,16.75,5.55,9.95,11.27,4.57,3.49,7.03,9.65,14.18,-8.08,16.08,9.38
AAETX,American Funds 2030 Target Date Retirement Fund Class A,Target-Date 2030,21330000000.0,8.96,1.21,5.0,Growth,Large,USD,8.08,64.11,27.57,16.15,1.87,4.72,11.46,13.42,2.06,8.2,15.68,3.11,3.44,8.45,9.11,20.35,-4.57,18.1,7.31
AAFTX,American Funds 2035 Target Date Retirement Fund Class A,Target-Date 2035,16960000000.0,10.54,1.05,5.0,Growth,Large,USD,7.56,76.67,15.58,16.41,1.88,4.7,12.2,13.39,1.87,7.78,15.88,2.83,3.1,7.89,9.22,21.13,-5.49,20.67,7.7
AAGOX,Alger Large Cap Growth Portfolio Class I-2,Large Growth,282950000.0,14.66,0.0,2.0,Growth,Large,USD,2.59,97.12,0.0,31.14,3.24,0.13,19.88,8.11,5.46,1.54,26.72,0.0,1.03,0.0,7.55,29.59,2.21,28.46,-0.83
AAGPX,American Beacon Large Cap Value Fund Investor Class,Large Value,5800000000.0,13.39,1.72,3.0,Value,Large,USD,5.23,94.77,0.0,12.54,1.23,3.67,10.58,24.33,0.09,7.33,12.62,1.98,3.94,13.27,12.32,9.87,-12.26,16.7,15.6
AAGTX,American Funds 2040 Target Date Retirement Fund Class A,Target-Date 2040,14780000000.0,11.15,0.95,5.0,Growth,Large,USD,7.67,80.8,11.33,16.48,1.89,4.67,12.41,13.35,1.79,7.63,16.02,2.73,2.99,7.75,9.26,21.41,-5.87,21.62,7.79
AAHTX,American Funds 2045 Target Date Retirement Fund Class A,Target-Date 2045,10720000000.0,11.27,0.89,5.0,Growth,Large,USD,7.83,82.1,9.9,16.48,1.89,4.66,12.47,13.38,1.63,7.57,16.05,2.57,2.93,7.73,9.31,21.69,-5.93,22.01,7.91
AAHYX,Thrivent Diversified Income Plus Fund Class A,Allocation - 30% to 50% Equity,963260000.0,6.34,3.32,4.0,Blend,Large,USD,10.06,24.2,56.45,14.17,1.38,4.75,11.11,20.35,3.07,6.89,15.12,1.42,2.91,6.13,12.23,16.03,-3.1,8.98,6.7
AAIEX,American Beacon International Equity Fund Institutional Class,Foreign Large Value,2900000000.0,9.68,2.15,4.0,Value,Large,USD,3.77,95.77,0.0,12.09,1.02,8.21,10.72,21.79,1.94,6.5,10.89,2.19,7.08,9.5,14.32,6.87,-16.37,24.83,0.27
AAIIX,Ancora Income Fund Class I,Multisector Bond,29930000.0,6.77,3.99,4.0,Blend,Large,USD,7.12,2.23,28.0,16.02,1.35,3.57,13.87,16.12,0.78,16.49,8.53,2.03,6.95,5.3,20.6,5.75,-3.4,7.14,6.21
AAINX,Thrivent Opportunity Income Plus Fund Class A,Multisector Bond,580910000.0,3.89,4.01,3.0,Value,Medium,USD,11.53,0.79,71.87,8.15,0.9,38.76,0.58,32.11,0.11,0.89,1.02,0.33,0.33,24.62,0.66,0.6,-1.25,4.87,7.13
AAIPX,American Beacon International Equity Fund Investor Class,Foreign Large Value,2900000000.0,9.56,1.79,4.0,Value,Large,USD,3.77,95.77,0.0,12.09,1.02,8.21,10.72,21.79,1.94,6.5,10.89,2.19,7.08,9.5,14.32,6.87,-16.64,24.4,-0.09
AAISX,American Beacon International Equity Fund Advisor Class,Foreign Large Value,2900000000.0,9.51,1.58,3.0,Value,Large,USD,3.77,95.77,0.0,12.09,1.02,8.21,10.72,21.79,1.94,6.5,10.89,2.19,7.08,9.5,14.32,6.87,-16.78,24.31,-0.14
AALGX,Thrivent Large Cap Stock Fund Class A,World Large Stock,1790000000.0,11.46,1.1,3.0,Blend,Large,USD,6.24,93.76,0.0,14.65,1.39,5.61,15.68,16.63,1.78,7.2,13.69,1.48,2.98,3.57,11.18,20.2,-8.75,20.83,4.87
AALTX,American Funds 2050 Target Date Retirement Fund Class A,Target-Date 2050,8910000000.0,11.36,0.81,5.0,Growth,Large,USD,7.95,83.21,8.69,16.49,1.89,4.63,12.48,13.38,1.47,7.53,16.13,2.47,2.89,7.73,9.37,21.92,-5.88,22.18,7.96
AAMBX,Thrivent Municipal Bond Fund Class A,Muni National Long,1490000000.0,2.64,3.34,2.0,,,USD,0.22,0.0,93.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,4.46,-0.21
AAMOX,Alger SMid Cap Focus Portfolio I-2,Mid-Cap Growth,1370000.0,30.53,0.0,4.0,Growth,Medium,USD,1.89,96.35,0.0,27.93,1.87,0.0,11.72,4.96,6.44,8.67,18.18,0.0,0.11,1.0,13.18,35.73,-3.19,36.91,3.82
AASCX,Thrivent Mid Cap Stock Fund Class A,Mid-Cap Blend,2140000000.0,14.2,0.16,5.0,Blend,Medium,USD,9.12,90.19,0.0,13.68,1.47,1.74,14.24,22.02,7.89,3.68,9.54,3.5,1.49,4.41,17.59,13.89,-10.64,18.52,28.16
AASMX,Thrivent Small Cap Stock Fund Class A,Small Growth,700640000.0,16.4,0.0,3.0,Growth,Small,USD,2.17,97.59,0.0,16.75,1.23,3.59,8.5,24.66,4.82,7.97,10.84,2.94,0.21,4.21,13.47,18.79,-10.58,20.88,25.21
AASOX,Alger Small Cap Growth Portfolio Class I-2,Small Growth,219060000.0,19.16,0.0,3.0,Growth,Medium,USD,1.69,97.79,0.0,39.46,5.09,1.74,10.59,1.45,0.0,2.75,33.48,0.0,0.0,1.4,2.85,45.74,1.44,28.73,6.24
AASSX,American Beacon Small Cap Value Fund Advisor Class,Small Value,6380000000.0,12.12,0.13,3.0,Value,Small,USD,4.71,95.29,0.0,12.53,0.71,6.2,13.88,28.48,4.51,2.4,2.75,2.33,0.3,4.92,19.62,14.61,-16.05,8.17,26.13
AAUTX,Thrivent Large Cap Value Fund Class A,Large Value,1070000000.0,9.84,1.19,3.0,Value,Large,USD,3.75,95.62,0.0,12.85,1.48,2.77,6.99,26.21,0.0,3.02,17.3,0.94,6.62,9.97,11.3,14.89,-8.81,17.23,17.08
AAZAX,AB Municipal Income Fund II Arizona Portfolio Class A,Muni Single State Interm,113870000.0,2.75,2.86,5.0,Value,Medium,USD,0.7,0.0,99.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.74,5.01,0.86
AAZBX,AB Municipal Income Fund II Arizona Portfolio Class B,Muni Single State Interm,113870000.0,2.47,2.13,3.0,Value,Medium,USD,0.7,0.0,99.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,4.33,0.11
AAZCX,AB Municipal Income Fund II Arizona Portfolio Class C,Muni Single State Interm,113870000.0,2.48,2.13,3.0,Value,Medium,USD,0.7,0.0,99.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,4.33,0.1
ABALX,American Funds American Balanced Fund Class A,Allocation - 50% to 70% Equity,140180000000.0,7.92,1.88,5.0,Blend,Large,USD,6.5,61.58,31.68,17.09,1.99,5.14,10.54,12.9,4.11,8.13,15.35,1.01,3.47,9.57,7.48,22.31,-2.7,15.47,8.61
ABAMX,AllianzGI Retirement 2030 Fund Administrative Class,Target-Date 2030,58340000.0,8.43,2.33,1.0,Blend,Large,USD,7.4,59.39,27.72,12.28,1.02,5.02,10.99,16.41,3.54,7.67,13.94,3.97,4.51,5.36,10.93,17.67,-8.93,18.18,7.87
ABASX,AB Discovery Value Fund Class A,Small Value,2880000000.0,11.62,0.29,4.0,Value,Medium,USD,1.56,98.44,0.0,13.49,0.93,3.34,12.32,23.61,11.64,5.82,2.79,5.4,0.0,6.73,15.19,13.17,-15.22,12.71,24.38
ABBSX,AB Discovery Value Fund Class B,Small Value,2880000000.0,11.54,0.14,4.0,Value,Medium,USD,1.56,98.44,0.0,13.49,0.93,3.34,12.32,23.61,11.64,5.82,2.79,5.4,0.0,6.73,15.19,13.17,-15.33,12.56,24.29
ABCSX,AB Discovery Value Fund Class C,Small Value,2880000000.0,11.42,0.0,3.0,Value,Medium,USD,1.56,98.44,0.0,13.49,0.93,3.34,12.32,23.61,11.64,5.82,2.79,5.4,0.0,6.73,15.19,13.17,-15.84,11.85,23.4
ABDAX,Columbia Capital Allocation Conservative Portfolio Class A,Allocation - 15% to 30% Equity,226060000.0,4.89,2.15,3.0,Blend,Large,USD,15.03,17.55,59.33,14.38,1.2,3.98,11.23,17.76,3.67,7.54,13.56,3.26,3.56,5.81,9.73,19.9,-3.49,7.95,4.48
ABEIX,Aberdeen Intermediate Municipal Income Fund Institutional Class,Muni National Interm,72440000.0,2.28,3.21,3.0,,,USD,2.8,0.0,97.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.69,3.32,0.01
ABEMX,Aberdeen Emerging Markets Fund Institutional Class,Diversified Emerging Mkts,5660000000.0,10.84,1.29,4.0,Growth,Large,USD,1.05,98.95,0.0,16.23,1.87,9.5,10.94,25.85,6.22,10.84,0.62,0.0,2.42,3.97,4.17,25.46,-14.65,30.24,11.96
ABEYX,American Beacon International Equity Fund Class Y,Foreign Large Value,2900000000.0,9.65,1.99,3.0,Value,Large,USD,3.77,95.77,0.0,12.09,1.02,8.21,10.72,21.79,1.94,6.5,10.89,2.19,7.08,9.5,14.32,6.87,-16.44,24.77,0.19
ABHFX,American High-Income Municipal Bond Fund Class F-1,High Yield Muni,6480000000.0,3.12,3.56,3.0,Growth,Small,USD,2.61,0.0,97.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.52,8.43,1.48
ABHIX,American Century High-Yield Fund Investor Class,High Yield Bond,145170000.0,7.04,5.31,3.0,Value,Small,USD,9.83,0.0,89.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,20.0,50.0,0.0,0.0,-3.3,5.96,13.98
ABHYX,American Century High Yield Municipal Fund Investor Class,High Yield Muni,688930000.0,3.37,3.79,3.0,Growth,Small,USD,0.08,0.0,99.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.47,9.25,0.46
ABIAX,AB International Value Fund Class A,Foreign Large Value,185430000.0,8.69,0.23,1.0,Value,Large,USD,0.77,99.22,0.0,11.28,0.76,9.67,15.72,16.81,1.47,10.89,8.82,2.31,3.33,10.37,11.14,9.48,-23.17,24.83,-0.97
ABIBX,AB International Value Fund Class B,Foreign Large Value,185430000.0,8.51,0.0,1.0,Value,Large,USD,0.77,99.22,0.0,11.28,0.76,9.67,15.72,16.81,1.47,10.89,8.82,2.31,3.33,10.37,11.14,9.48,-23.82,23.82,-1.73
ABICX,AB International Value Fund Class C,Foreign Large Value,185430000.0,8.54,0.0,1.0,Value,Large,USD,0.77,99.22,0.0,11.28,0.76,9.67,15.72,16.81,1.47,10.89,8.82,2.31,3.33,10.37,11.14,9.48,-23.78,23.92,-1.75
ABINX,American Century Balanced Fund I Class,Allocation - 50% to 70% Equity,883980000.0,9.43,1.69,4.0,Growth,Large,USD,3.07,54.98,41.86,16.86,2.33,1.91,13.36,13.15,3.49,6.17,17.54,1.19,2.01,4.33,8.12,28.74,-3.72,14.27,7.18
ABIYX,AB International Value Fund Advisor Class,Foreign Large Value,185430000.0,8.76,0.48,1.0,Value,Large,USD,0.77,99.22,0.0,11.28,0.76,9.67,15.72,16.81,1.47,10.89,8.82,2.31,3.33,10.37,11.14,9.48,-23.04,25.2,-0.7
ABKYX,Invesco Moderate Allocation Fund Class Y,Allocation - 50% to 70% Equity,704360000.0,8.83,2.29,3.0,Blend,Large,USD,5.96,56.26,35.27,13.02,1.39,3.97,13.59,16.35,5.6,10.06,11.48,4.67,3.47,7.1,9.71,14.0,-6.14,12.85,8.48
ABLAX,AllianzGI Retirement 2030 Fund Class A,Target-Date 2030,58340000.0,8.49,2.22,1.0,Blend,Large,USD,7.4,59.39,27.72,12.28,1.02,5.02,10.99,16.41,3.54,7.67,13.94,3.97,4.51,5.36,10.93,17.67,-8.99,18.13,7.84
ABLCX,AllianzGI Retirement 2030 Fund Class C,Target-Date 2030,58340000.0,8.28,1.31,1.0,Blend,Large,USD,7.4,59.39,27.72,12.28,1.02,5.02,10.99,16.41,3.54,7.67,13.94,3.97,4.51,5.36,10.93,17.67,-9.66,17.22,6.96
ABLIX,AllianzGI Retirement 2030 Fund R6 Class,Target-Date 2030,58340000.0,8.54,2.58,2.0,Blend,Large,USD,7.4,59.39,27.72,12.28,1.02,5.02,10.99,16.41,3.54,7.67,13.94,3.97,4.51,5.36,10.93,17.67,-8.6,18.59,8.19
ABLOX,Alger Balanced Portfolio Class I-2,Allocation - 50% to 70% Equity,44880000.0,7.53,4.25,4.0,Blend,Large,USD,0.86,61.82,37.32,15.13,2.19,1.79,9.85,15.09,4.44,7.99,15.51,1.33,5.04,6.06,9.67,23.23,-3.32,15.44,8.51
ABLPX,AllianzGI Retirement 2030 Fund Class P,Target-Date 2030,58340000.0,8.51,2.57,2.0,Blend,Large,USD,7.4,59.39,27.72,12.28,1.02,5.02,10.99,16.41,3.54,7.67,13.94,3.97,4.51,5.36,10.93,17.67,-8.68,18.49,8.13
ABLRX,AllianzGI Retirement 2030 Fund Class R,Target-Date 2030,58340000.0,8.36,1.68,1.0,Blend,Large,USD,7.4,59.39,27.72,12.28,1.02,5.02,10.99,16.41,3.54,7.67,13.94,3.97,4.51,5.36,10.93,17.67,-9.28,17.7,7.42
ABLSX,American Beacon Balanced Fund Advisor Class,Allocation - 50% to 70% Equity,277940000.0,10.13,1.11,3.0,Value,Large,USD,3.23,61.17,35.55,12.0,1.11,3.68,12.91,23.45,0.0,6.32,11.04,1.42,4.28,16.09,9.91,10.88,-8.32,11.96,11.85
ABLYX,American Beacon Large Cap Value Fund Class Y,Large Value,5800000000.0,13.49,1.86,2.0,Value,Large,USD,5.23,94.77,0.0,12.54,1.23,3.67,10.58,24.33,0.09,7.33,12.62,1.98,3.94,13.27,12.32,9.87,-12.09,17.02,15.91
ABMIX,AMG Managers Fairpointe Mid Cap Fund Class I,Mid-Cap Value,2530000000.0,14.94,0.68,2.0,Value,Medium,USD,3.43,96.57,0.0,12.66,0.63,4.85,36.49,7.82,0.0,8.0,7.73,0.0,0.0,3.86,15.81,15.43,-18.37,11.8,24.36
ABNDX,American Funds The Bond Fund of America Class A,Intermediate-Term Bond,41860000000.0,2.91,2.41,3.0,Value,Small,USD,10.06,0.01,89.05,9.48,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.13,3.21,2.74
ABNFX,American Funds The Bond Fund of America Class F-2,Intermediate-Term Bond,41860000000.0,2.97,2.66,3.0,Value,Small,USD,10.06,0.01,89.05,9.48,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,3.47,3.0
ABNIX,Aberdeen International Small Cap Fund Institutional Class,Foreign Small/Mid Growth,81440000.0,11.3,2.4,4.0,Growth,Medium,USD,5.24,92.24,0.0,24.92,2.37,10.22,13.96,2.5,3.08,17.18,19.16,0.0,2.04,0.0,25.82,6.04,-9.31,32.18,5.33
ABPAX,AB Conservative Wealth Strategy Class A,Allocation - 30% to 50% Equity,182130000.0,6.87,0.77,1.0,Blend,Large,USD,9.44,48.1,41.33,15.74,1.62,5.02,11.87,16.64,9.15,4.82,12.36,1.94,3.55,7.43,9.48,17.76,-5.66,8.32,3.65
ABPBX,AB Conservative Wealth Strategy Class B,Allocation - 30% to 50% Equity,182130000.0,6.62,0.0,1.0,Blend,Large,USD,9.44,48.1,41.33,15.74,1.62,5.02,11.87,16.64,9.15,4.82,12.36,1.94,3.55,7.43,9.48,17.76,-6.29,7.42,2.78
ABPCX,AB Conservative Wealth Strategy Class C,Allocation - 30% to 50% Equity,182130000.0,6.6,0.0,1.0,Blend,Large,USD,9.44,48.1,41.33,15.74,1.62,5.02,11.87,16.64,9.15,4.82,12.36,1.94,3.55,7.43,9.48,17.76,-6.35,7.51,2.81
ABPRX,AB Large Cap Growth Fund Class R,Large Growth,8440000000.0,15.8,0.0,4.0,Growth,Large,USD,10.24,89.76,0.0,24.03,3.31,2.41,15.67,9.63,0.0,10.29,23.61,0.0,0.0,0.0,6.61,31.78,1.53,30.88,2.41
ABPYX,AB Conservative Wealth Strategy Advisor Class,Allocation - 30% to 50% Equity,182130000.0,6.93,1.01,2.0,Blend,Large,USD,9.44,48.1,41.33,15.74,1.62,5.02,11.87,16.64,9.15,4.82,12.36,1.94,3.55,7.43,9.48,17.76,-5.39,8.55,3.88
ABQBX,AB Intermediate Bond Portfolio Class B,Intermediate-Term Bond,336600000.0,2.93,2.33,3.0,Blend,Medium,USD,9.64,0.0,85.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.24,3.11,3.24
ABQCX,AB Intermediate Bond Portfolio Class C,Intermediate-Term Bond,336600000.0,2.94,2.35,3.0,Blend,Medium,USD,9.64,0.0,85.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.24,3.11,3.16
ABQIX,AB Intermediate Bond Portfolio Class I,Intermediate-Term Bond,336600000.0,3.18,3.31,4.0,Blend,Medium,USD,9.64,0.0,85.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.25,4.13,4.28
ABQKX,AB Intermediate Bond Portfolio Class K,Intermediate-Term Bond,336600000.0,3.21,3.07,4.0,Blend,Medium,USD,9.64,0.0,85.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.49,3.88,3.92
ABQRX,AB Intermediate Bond Portfolio Class R,Intermediate-Term Bond,336600000.0,3.06,2.83,3.0,Blend,Medium,USD,9.64,0.0,85.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.74,3.62,3.67
ABQUX,AB Intermediate Bond Portfolio Class A,Intermediate-Term Bond,336600000.0,3.21,3.07,4.0,Blend,Medium,USD,9.64,0.0,85.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,3.88,3.92
ABQYX,AB Intermediate Bond Portfolio Advisor Class,Intermediate-Term Bond,336600000.0,3.18,3.32,4.0,Blend,Medium,USD,9.64,0.0,85.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.25,4.14,4.27
ABSCX,AllianzGI Retirement 2020 Fund Class C,Target-Date 2020,33540000.0,6.27,1.1,1.0,Blend,Large,USD,7.58,41.67,34.51,11.99,0.98,5.22,10.86,16.73,3.72,7.91,13.55,3.91,4.58,5.3,11.37,16.85,-7.31,12.36,6.19
ABSIX,AB Discovery Value Fund Class I,Small Value,2880000000.0,11.73,0.55,4.0,Value,Medium,USD,1.56,98.44,0.0,13.49,0.93,3.34,12.32,23.61,11.64,5.82,2.79,5.4,0.0,6.73,15.19,13.17,-15.05,13.0,24.73
ABSKX,AB Discovery Value Fund Class K,Small Value,2880000000.0,11.63,0.21,4.0,Value,Medium,USD,1.56,98.44,0.0,13.49,0.93,3.34,12.32,23.61,11.64,5.82,2.79,5.4,0.0,6.73,15.19,13.17,-15.32,12.59,24.3
